Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"School enrollment, secondary (% net)",SE.SEC.NENR,Lesotho,LSO,..,17.97381,38.96832,40.16248,40.63024,40.64296,41.85947,41.35206,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Liberia,LBR,..,..,..,..,..,16.961,15.69147,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Liechtenstein,LIE,..,..,92.36228,92.11856,..,91.53872,91.53953,91.20567,85.94145,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Lithuania,LTU,..,90.95167,97.30754,97.04006,97.46028,97.59719,97.50248,97.52441,98.42562,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Luxembourg,LUX,..,83.93834,86.47169,85.92268,85.70984,84.97239,84.43463,84.63978,83.58238,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Macao SAR, China",MAC,47.39465,68.89933,74.75342,75.05218,75.33974,76.03664,77.74461,81.70815,84.38217,86.42111,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Madagascar,MDG,..,..,29.93668,30.99363,..,31.01487,30.28786,30.14792,29.12022,29.84739,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Malawi,MWI,..,30.67589,30.06088,30.4559,32.74037,33.54261,34.24597,32.95718,..,34.23885,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Malaysia,MYS,..,75.30455,74.16752,75.75679,76.2547,74.65151,..,73.40114,74.39817,72.21113,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Maldives,MDV,..,36.88029,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mali,MLI,..,..,31.98852,..,33.11983,35.01947,31.36945,32.53744,29.34611,29.92706,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Malta,MLT,77.43415,82.02675,..,88.90797,87.85101,88.22941,88.88531,89.55552,92.96077,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Marshall Islands,MHL,..,..,..,..,..,..,55.84084,55.85237,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mauritania,MRT,..,..,..,22.44263,22.0598,23.70334,24.98002,27.46113,28.18691,30.97658,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Mauritius,MUS,..,68.24067,..,..,..,..,85.34866,84.30625,84.54626,84.30832,..,..
