Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
High-technology exports (current US$),TX.VAL.TECH.CD,Georgia,GEO,..,..,12154187,20048798,21318338,35254745,39239884,23165917,23149299,26950274,19353258,..
High-technology exports (current US$),TX.VAL.TECH.CD,Germany,DEU,..,..,203237045896,204071158697,210129818072,216297040017,199797306303,206133813845,195752362801,210082307180,208677809287,..
High-technology exports (current US$),TX.VAL.TECH.CD,Ghana,GHA,..,..,23761633,76336097,62421497,144096432,89425067,21056625,41531749,50006668,9928827,..
High-technology exports (current US$),TX.VAL.TECH.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Greece,GRC,..,..,1402430844,1137984293,950028738,1337152824,1330536725,1415256394,1384000150,1754801996,1778210448,..
High-technology exports (current US$),TX.VAL.TECH.CD,Greenland,GRL,..,..,1773162,3325952,919558,257024,12776484,2115983,1743354,487975,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Guatemala,GTM,..,..,198224980,208074792,213728660,229856419,249133981,259700353,246966678,255890380,241853800,..
High-technology exports (current US$),TX.VAL.TECH.CD,Guinea,GIN,..,..,..,..,989751,3601290,2455734,799558,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Guyana,GUY,..,..,95679,41530,119766,105393,90066,161359,254735,160370,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Honduras,HND,..,..,12063500,39629273,..,44610834,18698692,37769500,45740961,29002647,12634974,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Hong Kong SAR, China",HKG,..,..,1223155020,962302375,680836568,540930248,453113875,469855936,293614183698,330093815142,322038776661,..
High-technology exports (current US$),TX.VAL.TECH.CD,Hungary,HUN,..,..,22847603000,17580685760,17144182548,15686910823,14668166894,15922190961,16903987958,18065921731,18527224783,..
High-technology exports (current US$),TX.VAL.TECH.CD,Iceland,ISL,..,..,157704167,111298114,94980249,119694467,111536289,136816468,167559778,143430802,305002021,..
High-technology exports (current US$),TX.VAL.TECH.CD,India,IND,..,..,14546206697,13927179245,17965366385,18344917155,14615780664,14300754797,15161028362,20273090235,23643556632,..
High-technology exports (current US$),TX.VAL.TECH.CD,Indonesia,IDN,..,..,7291773259,7242007286,6520318705,6603091281,5900470886,5418668848,5974888118,6389604745,5829634881,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Iran, Islamic Rep.",IRN,..,..,710992017,..,280498132,308948526,277896224,249197112,278924957,175291017,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Ireland,IRL,..,..,27793208823,26223319165,25029015199,25865024116,30632324601,37990080238,34827021587,36493794777,39356223019,..
High-technology exports (current US$),TX.VAL.TECH.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Israel,ISR,..,..,11681717000,11565015000,11744185000,12408980000,13753939000,12199784000,12057719000,12971903000,12564551000,..
High-technology exports (current US$),TX.VAL.TECH.CD,Italy,ITA,..,..,34153221516,29851307796,32431629494,33222989923,30511569124,31317931725,32232276659,32581025234,34308172510,..
