Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,66.438,71.164,75.31,75.656,75.997,76.332,76.663,76.99,77.312,77.629,77.942,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,66.377,68.899,72.638,72.975,73.313,73.651,73.99,74.329,74.669,75.008,75.347,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,13.815,17.844,25.196,25.767,26.346,26.934,27.53,28.134,28.743,29.358,29.98,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burundi,BDI,6.271,8.246,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,13.366,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,44.12,53.435,62.322,62.821,63.317,63.81,64.3,64.784,65.261,65.732,66.195,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cambodia,KHM,15.546,18.586,20.663,21.037,21.415,21.799,22.188,22.582,22.98,23.388,23.805,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cameroon,CMR,39.657,45.542,52.164,52.769,53.373,53.976,54.578,55.179,55.777,56.374,56.968,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,76.582,79.478,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,81.482,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,36.825,37.639,39.135,39.388,39.663,39.959,40.277,40.618,40.98,41.364,41.77,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chad,TCD,20.811,21.637,22.054,22.142,22.248,22.372,22.515,22.677,22.858,23.059,23.279,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,31.392,30.465,31.091,31.059,31.027,30.995,30.962,30.93,30.914,30.914,30.931,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chile,CHL,83.271,86.073,87.132,87.189,87.246,87.303,87.36,87.422,87.49,87.564,87.643,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,China,CHN,26.442,35.877,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,69.481,73.957,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,81.104,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Comoros,COM,27.869,28.08,28.04,28.123,28.223,28.338,28.47,28.619,28.784,28.965,29.164,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,30.633,35.122,40.544,41.082,41.627,42.18,42.74,43.307,43.88,44.46,45.046,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,54.324,58.695,63.712,64.169,64.627,65.085,65.543,66.001,66.459,66.916,67.373,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,50.003,59.052,72.868,73.946,74.97,75.941,76.862,77.735,78.56,79.34,80.076,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,39.345,43.155,47.751,48.172,48.593,49.014,49.444,49.881,50.326,50.779,51.239,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Croatia,HRV,51.037,53.428,55.322,55.506,55.706,55.923,56.155,56.403,56.667,56.947,57.242,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cuba,CUB,73.364,75.323,76.689,76.781,76.827,76.861,76.896,76.93,76.977,77.037,77.109,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Curacao,CUW,84.678,90.752,89.775,89.654,89.544,89.443,89.352,89.272,89.203,89.145,89.098,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.776,68.648,67.406,67.261,67.137,67.031,66.946,66.881,66.836,66.81,66.805,..
